Altium Designer Pick and Place Locations
C:\Users\Lenovo\Dropbox\Arduino_PCB\Custom Boards\Vincent\1.54_inch_tft\Project Outputs for ezDisplay2_Rev1.2\Pick Place for PCB_Rev1.2.csv

========================================================================================================================
File Design Information:

Date:       26-09-21
Time:       19:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description","Manufacturer","Part_Footprint","Value","Vendor","Man_Part_Number"
"H1","QWiiC","TopLayer","SM04B-SRSS-TB","CONN HEADER 4POS .100 R/A QWIIC","284.671","1214.002","180","CONN HEADER 4POS .100 R/A QWIIC","JST","","QWiiC","LCSC","SM04B-SRSS-TB(LF)(SN)"
"R27","100K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","595.000","104.685","270","RES 100K 0402","Uniroyal Elec","","100K","LCSC","0402WGF1003TCE"
"R26","100K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","575.315","165.000","0","RES 100K 0402","Uniroyal Elec","","100K","LCSC","0402WGF1003TCE"
"TP4","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","174.103","414.223","0","Test Point, 1mm Top Layer","N/A","","","",""
"TP3","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","114.103","939.223","0","Test Point, 1mm Top Layer","N/A","","","",""
"TP2","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","1199.103","474.223","0","Test Point, 1mm Top Layer","N/A","","","",""
"TP1","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","1199.103","904.223","0","Test Point, 1mm Top Layer","N/A","","","",""
"F1","TLC-PSMD050","TopLayer","PTC2012X70L","Chip Fuse, 2-Leads, Body 2.0x1.3mm, IPC Medium Density (0805)","368.598","521.317","180","PTC FUSE 500mA hold, 1A trip 0805 SMD","TLC","","TLC-PSMD050","LCSC","TLC-PSMD050"
"R25","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","897.843","594.223","180","RES 1K 0402","Yageo","","1K","LCSC","RC0402FR-071KL"
"R24","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","897.843","634.223","180","RES 1K 0402","Yageo","","1K","LCSC","RC0402FR-071KL"
"R23","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","897.843","554.223","180","RES 1K 0402","Yageo","","1K","LCSC","RC0402FR-071KL"
"R22","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","854.142","288.751","270","RES 1K 0402","Yageo","","1K","LCSC","RC0402FR-071KL"
"R21","4.7K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","592.268","351.506","90","RES 4.7K 0402","Uni-Royal","","4.7K","LCSC","0402WGF4701TCE"
"R20","4.7K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","884.033","91.821","180","RES 4.7K 0402","Uni-Royal","","4.7K","LCSC","0402WGF4701TCE"
"R19","100R","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","881.631","161.821","180","RES 100R 0402","Yageo","","100R","LCSC","RC0402FR-07100RL"
"R18","22K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","996.002","91.821","0","RES 22K 0402","LIZ Elec","","22K","LCSC","CR0402FF2202G"
"R17","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","931.314","801.223","180","RES 10K 0402","Guangdong","","10K","LCSC","RC-02W1002FT"
"R16","100K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","319.457","294.475","180","RES 100K 0402","Uniroyal Elec","","100K","LCSC","0402WGF1003TCE"
"R15","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","932.213","844.223","0","RES 1K 0402","Yageo","","1K","LCSC","RC0402FR-071KL"
"R14","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","1061.450","154.357","90","RES 10K 0402","Guangdong","0402","10K","LCSC","RC-02W1002FT"
"R13","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","186.450","274.987","270","RES 10K 0402","Guangdong","0402","10K","LCSC","RC-02W1002FT"
"R12","22R","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","856.583","844.223","0","RES 22R 0402","Uniroyal","","22R","LCSC","0402WGF220JTCE"
"R11","5.1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","340.882","595.326","0","RES 5.1K 0402","TyoHM","","5.1K","LCSC","RMC04025.1K1%N"
"R10","5.1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","341.866","713.436","0","RES 5.1K 0402","TyoHM","","5.1K","LCSC","RMC04025.1K1%N"
"R9","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","1056.450","1054.357","90","RES 10K 0402","Guangdong","0402","10K","LCSC","RC-02W1002FT"
"R8","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","100.222","1288.805","180","RES 10K 0402","Guangdong","0402","10K","LCSC","RC-02W1002FT"
"R7","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","674.969","725.404","180","RES 10K 0402","Guangdong","","10K","LCSC","RC-02W1002FT"
"R6","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","722.213","594.223","0","RES 10K 0402","Guangdong","","10K","LCSC","RC-02W1002FT"
"R5","4.7K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","937.213","729.223","180","RES 4.7K 0402","Uni-Royal","","4.7K","LCSC","0402WGF4701TCE"
"R4","4.7K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","937.213","679.223","180","RES 4.7K 0402","Uni-Royal","","4.7K","LCSC","0402WGF4701TCE"
"R3","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","789.103","665.719","90","RES 10K 0402","Guangdong","","10K","LCSC","RC-02W1002FT"
"R2","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","352.222","961.010","0","RES 10K 0402","Guangdong","","10K","LCSC","RC-02W1002FT"
"R1","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","1156.583","704.223","180","RES 10K 0402","Guangdong","","10K","LCSC","RC-02W1002FT"
"U1","ESP32-PICO-D4","TopLayer","QFN48_NEWEST_0.5mm_pitch","QFN, 48-Leads, Body 7x7mm, Pitch 0.5mm, IPC Medium Density","620.451","1010.223","0","RF Transceiver ICs QFN-48_7x7x05P RoHS","Espressif","QFN-48","ESP32-PICO-D4","LCSC","ESP32-PICO-D4"
"X1","TFT_1.54"","BottomLayer","TFT_GLASS_1.54_INCH","TFT_GLASS 1.54 INCH","614.843","973.191","270","1.54 INCH TFT GLASS COLOR","BuyDisplay","","TFT_1.54"","BuyDisplay","ER-TFT1.54-1"
"U7","DW01A","TopLayer","SOT95P280X130-6N","SOT23, 6-Leads, Body 3.0x3.0mm (max), Pitch 0.95mm, IPC Medium Density","946.321","270.640","270","IC LITHIUM BATT PROTECT SOT-23-6L","PUOLOP","SOT-23-6L","DW01A","LCSC","DW01A"
"U6","MCP73831T-2ACI/OT","TopLayer","SOT95P280X144-5N","SOT23, 5-Leads, Body 3.1x3.0mm (max), Pitch 0.95mm, IPC Medium Density (RFMD SOT23-5)","686.947","369.223","180","Charger IC Lithium-Ion/Polymer SOT23-5","Microchip","SOT-23-5L","MCP73831T-2ACI","LCSC","MCP73831T-2ACI/OT"
"U5","HT7833","TopLayer","SOT95P280X144-5N","SOT23, 5-Leads, Body 3.1x3.0mm (max), Pitch 0.95mm, IPC Medium Density (RFMD SOT23-5)","371.435","391.624","0","IC LDO 3.3V 0.5A SOT23-5","Holtek","SOT-23-5L","HT7833","LCSC","HT7833"
