Altium Designer Pick and Place Locations
C:\Users\Lenovo\Dropbox\Arduino_PCB\Custom Boards\Vincent\1.54_inch_tft\Project Outputs for ezDisplay2_Rev1.1\Pick Place for PCB_Rev1.1.csv

========================================================================================================================
File Design Information:

Date:       24-08-21
Time:       06:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer","Part_Footprint","Value","Vendor","Part_Number"
"R27","680K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","15.1130","2.6590","270","RES 680K 0402","","","680K","LCSC",""
"R26","470K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","14.6130","4.1910","0","RES 470K 0402","","","470K","LCSC",""
"TP4","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","4.4222","10.5213","0","Test Point, 1mm Top Layer","N/A","","","","N/A"
"TP3","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","2.8982","23.8563","0","Test Point, 1mm Top Layer","N/A","","","","N/A"
"TP2","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","30.4572","12.0453","0","Test Point, 1mm Top Layer","N/A","","","","N/A"
"TP1","Test Point, 1mm Top Layer","TopLayer","TP100TL","Test Point","30.4572","22.9673","0","Test Point, 1mm Top Layer","N/A","","","","N/A"
"F1","TLC-PSMD050","TopLayer","PTC2012X70L","Chip Fuse, 2-Leads, Body 2.0x1.3mm, IPC Medium Density (0805)","9.3624","13.2415","180","PTC FUSE 500mA hold, 1A trip 0805 SMD","TLC","","TLC-PSMD050","LCSC","C261942"
"R25","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","22.8052","15.0933","180","RES 1K 0402","Yageo","","1K","LCSC","C106235"
"R24","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","22.8052","16.1093","180","RES 1K 0402","Yageo","","1K","LCSC","C106235"
"R23","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","22.8052","14.0773","180","RES 1K 0402","Yageo","","1K","LCSC","C106235"
"R22","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","21.6952","7.3343","270","RES 1K 0402","Yageo","","1K","LCSC","C106235"
"R21","43K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","15.0436","8.9283","90","RES 43K 0402","Uniroyal","","43K","LCSC","C8329"
"R20","4.7K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","22.4544","2.3323","180","RES 4.7K 0402","LIZ Elec","","4.7K","LCSC","C100139"
"R19","100R","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","22.3934","4.1103","180","RES 100R 0402","Yageo","","100R","LCSC","C106232"
"R18","22K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","25.2984","2.3323","0","RES 22K 0402","LIZ Elec","","22K","LCSC","C100310"
"R17","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","23.6554","20.3511","180","RES 10K 0402","Guangdong","","10K","LCSC","C258091"
"R16","100K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","8.1142","7.4797","180","RES 100K 0402","Uniroyal Elec","","100K","LCSC","C25741"
"R15","1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","23.6782","21.4433","0","RES 1K 0402","Yageo","","1K","LCSC","C106235"
"R14","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","26.9608","3.9207","90","RES 10K 0402","Guangdong","0402","10K","LCSC","C258091"
"R13","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","4.7358","6.9847","270","RES 10K 0402","Guangdong","0402","10K","LCSC","C258091"
"R12","22R","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","21.7572","21.4433","0","RES 22R 0402","Uniroyal","","22R","LCSC","C25092"
"R11","5.1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","8.6584","15.1213","0","RES 5.1K 0402","TyoHM","","5.1K","LCSC","C325521"
"R10","5.1K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","8.6834","18.1213","0","RES 5.1K 0402","TyoHM","","5.1K","LCSC","C325521"
"R9","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","26.8338","26.7807","90","RES 10K 0402","Guangdong","0402","10K","LCSC","C258091"
"R8","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","4.9898","29.8447","270","RES 10K 0402","Guangdong","0402","10K","LCSC","C258091"
"R7","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","17.1442","18.4253","180","RES 10K 0402","Guangdong","","10K","LCSC","C258091"
"R6","10K","TopLayer","RESC1005X40L_(0402_FOOTPRINT)","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density (0402)","18.3442","15.0933","0","RES 10K 0402","Guangdong","","10K","LCSC","C258091"
